exp,spp,tim,iso,tem,rep,ger,of
2,Ck,12,3G23,30,2,31,50
2,Ck,12,3G23,30,3,41,50
2,Ck,12,3G23,35,1,37,50
2,Ck,12,3G23,35,2,43,50
2,Ck,12,3G23,35,3,45,50
3,Cf,6,11K11,10,1,0,50
3,Cf,6,11K11,10,2,0,50
3,Cf,6,11K11,10,3,0,50
3,Cf,6,11K11,15,1,0,50
3,Cf,6,11K11,15,2,0,50
3,Cf,6,11K11,15,3,0,50
3,Cf,6,11K11,20,1,24,50
3,Cf,6,11K11,20,2,24,50
3,Cf,6,11K11,20,3,22,50
3,Cf,6,11K11,25,1,35,50
3,Cf,6,11K11,25,2,32,50
3,Cf,6,11K11,25,3,31,50
3,Cf,6,11K11,30,1,43,50
3,Cf,6,11K11,30,2,38,50
3,Cf,6,11K11,30,3,41,50
3,Cf,6,11K11,35,1,0,50
3,Cf,6,11K11,35,2,2,50
3,Cf,6,11K11,35,3,1,50
3,Cf,6,11K17,10,1,0,50
3,Cf,6,11K17,10,2,0,50
3,Cf,6,11K17,10,3,0,50
3,Cf,6,11K17,15,1,1,50
3,Cf,6,11K17,15,2,0,50
3,Cf,6,11K17,15,3,0,50
3,Cf,6,11K17,20,1,23,50
3,Cf,6,11K17,20,2,22,50
3,Cf,6,11K17,20,3,19,50
3,Cf,6,11K17,25,1,46,60
3,Cf,6,11K17,25,2,32,50
3,Cf,6,11K17,25,3,43,70
3,Cf,6,11K17,30,1,46,50
3,Cf,6,11K17,30,2,47,50
3,Cf,6,11K17,30,3,43,50
3,Cf,6,11K17,35,1,4,50
3,Cf,6,11K17,35,2,2,50
3,Cf,6,11K17,35,3,4,50
3,Cf,6,12D46,10,1,0,50
3,Cf,6,12D46,10,2,1,50
3,Cf,6,12D46,10,3,0,50
3,Cf,6,12D46,15,1,8,50
3,Cf,6,12D46,15,2,6,50
3,Cf,6,12D46,15,3,5,50
3,Cf,6,12D46,20,1,30,50
3,Cf,6,12D46,20,2,25,50
3,Cf,6,12D46,20,3,22,50
3,Cf,6,12D46,25,1,32,50
3,Cf,6,12D46,25,2,43,70
3,Cf,6,12D46,25,3,28,50
3,Cf,6,12D46,30,1,40,50
3,Cf,6,12D46,30,2,42,50
3,Cf,6,12D46,30,3,41,50
3,Cf,6,12D46,35,1,2,50
3,Cf,6,12D46,35,2,4,50
3,Cf,6,12D46,35,3,2,50
3,Cf,6,12J05,10,1,0,50
3,Cf,6,12J05,10,2,0,50
3,Cf,6,12J05,10,3,0,50
3,Cf,6,12J05,15,1,0,50
3,Cf,6,12J05,15,2,0,50
3,Cf,6,12J05,15,3,0,50
3,Cf,6,12J05,20,1,17,50
3,Cf,6,12J05,20,2,15,50
3,Cf,6,12J05,20,3,16,50
3,Cf,6,12J05,25,1,38,50
3,Cf,6,12J05,25,2,37,50
3,Cf,6,12J05,25,3,39,50
3,Cf,6,12J05,30,1,49,50
3,Cf,6,12J05,30,2,47,50
3,Cf,6,12J05,30,3,48,50
3,Cf,6,12J05,35,1,0,50
3,Cf,6,12J05,35,2,1,50
3,Cf,6,12J05,35,3,1,50
3,Cf,6,11J23,10,1,0,50
3,Cf,6,11J23,10,2,0,50
3,Cf,6,11J23,10,3,0,50
3,Cf,6,11J23,15,1,5,50
3,Cf,6,11J23,15,2,3,50
3,Cf,6,11J23,15,3,3,50
3,Cf,6,11J23,20,1,28,50
3,Cf,6,11J23,20,2,31,50
3,Cf,6,11J23,20,3,26,50
3,Cf,6,11J23,25,1,38,50
3,Cf,6,11J23,25,2,36,50
3,Cf,6,11J23,25,3,36,50
3,Cf,6,11J23,30,1,47,50
3,Cf,6,11J23,30,2,48,50
3,Cf,6,11J23,30,3,47,50
3,Cf,6,11J23,35,1,2,50
3,Cf,6,11J23,35,2,7,50
3,Cf,6,11J23,35,3,6,50
3,Cf,6,12J41,10,1,0,50
3,Cf,6,12J41,10,2,0,50
3,Cf,6,12J41,10,3,0,50
3,Cf,6,12J41,15,1,1,50
3,Cf,6,12J41,15,2,3,50
3,Cf,6,12J41,15,3,1,50
3,Cf,6,12J41,20,1,24,50
3,Cf,6,12J41,20,2,25,50
3,Cf,6,12J41,20,3,26,50
3,Cf,6,12J41,25,1,37,50
3,Cf,6,12J41,25,2,33,50
3,Cf,6,12J41,25,3,38,50
3,Cf,6,12J41,30,1,41,50
3,Cf,6,12J41,30,2,42,50
3,Cf,6,12J41,30,3,37,50
3,Cf,6,12J41,35,1,6,50
3,Cf,6,12J41,35,2,3,50
3,Cf,6,12J41,35,3,2,50
3,Ck,6,3G23,10,1,0,50
3,Ck,6,3G23,10,2,1,50
3,Ck,6,3G23,10,3,1,50
3,Ck,6,3G23,15,1,4,50
3,Ck,6,3G23,15,2,1,50
3,Ck,6,3G23,15,3,0,50
3,Ck,6,3G23,20,1,6,50
3,Ck,6,3G23,20,2,5,50
3,Ck,6,3G23,20,3,6,50
3,Ck,6,3G23,25,1,10,50
3,Ck,6,3G23,25,2,7,50
3,Ck,6,3G23,25,3,11,50
3,Ck,6,3G23,30,1,6,50
3,Ck,6,3G23,30,2,5,50
3,Ck,6,3G23,30,3,6,50
3,Ck,6,3G23,35,1,3,50
3,Ck,6,3G23,35,2,1,50
3,Ck,6,3G23,35,3,0,50
3,Cf,12,11K11,10,1,0,50
3,Cf,12,11K11,10,2,0,50
3,Cf,12,11K11,10,3,0,50
3,Cf,12,11K11,15,1,14,50
3,Cf,12,11K11,15,2,16,50
3,Cf,12,11K11,15,3,12,50
3,Cf,12,11K11,20,1,48,50
3,Cf,12,11K11,20,2,48,50
3,Cf,12,11K11,20,3,44,50
3,Cf,12,11K11,25,1,50,50
3,Cf,12,11K11,25,2,50,50
3,Cf,12,11K11,25,3,50,50
3,Cf,12,11K11,30,1,52,55
3,Cf,12,11K11,30,2,50,50
3,Cf,12,11K11,30,3,48,50
3,Cf,12,11K11,35,1,42,50
3,Cf,12,11K11,35,2,34,50
3,Cf,12,11K11,35,3,41,50
3,Cf,12,11K17,10,1,0,50
3,Cf,12,11K17,10,2,0,50
3,Cf,12,11K17,10,3,0,50
3,Cf,12,11K17,15,1,28,50
3,Cf,12,11K17,15,2,24,50
3,Cf,12,11K17,15,3,26,50
3,Cf,12,11K17,20,1,44,50
3,Cf,12,11K17,20,2,45,50
3,Cf,12,11K17,20,3,46,50
3,Cf,12,11K17,25,1,50,50
3,Cf,12,11K17,25,2,49,50
3,Cf,12,11K17,25,3,48,50
3,Cf,12,11K17,30,1,49,50
3,Cf,12,11K17,30,2,49,50
3,Cf,12,11K17,30,3,50,50
3,Cf,12,11K17,35,1,43,50
3,Cf,12,11K17,35,2,40,50
3,Cf,12,11K17,35,3,58,63
3,Cf,12,12D46,10,1,0,50
3,Cf,12,12D46,10,2,1,50
3,Cf,12,12D46,10,3,2,50
3,Cf,12,12D46,15,1,22,50
3,Cf,12,12D46,15,2,16,50
3,Cf,12,12D46,15,3,18,50
3,Cf,12,12D46,20,1,46,50
3,Cf,12,12D46,20,2,45,50
3,Cf,12,12D46,20,3,45,50
3,Cf,12,12D46,25,1,49,50
3,Cf,12,12D46,25,2,48,50
3,Cf,12,12D46,25,3,50,50
3,Cf,12,12D46,30,1,50,50
3,Cf,12,12D46,30,2,50,50
3,Cf,12,12D46,30,3,49,50
3,Cf,12,12D46,35,1,29,50
3,Cf,12,12D46,35,2,27,50
3,Cf,12,12D46,35,3,30,50
3,Cf,12,12J05,10,1,0,50
3,Cf,12,12J05,10,2,0,50
3,Cf,12,12J05,10,3,0,50
3,Cf,12,12J05,15,1,14,50
3,Cf,12,12J05,15,2,13,50
3,Cf,12,12J05,15,3,13,50
3,Cf,12,12J05,20,1,50,50
3,Cf,12,12J05,20,2,48,50
3,Cf,12,12J05,20,3,47,50
3,Cf,12,12J05,25,1,49,50
3,Cf,12,12J05,25,2,49,50
