safra;dia;folha;nitro;lado;poda;bloco;sever
1;28;41;40;1;1;I;0.04
1;35;41;40;1;1;I;0.25
1;42;41;40;1;1;I;0.19
1;49;41;40;1;1;I;0.2
1;56;41;40;1;1;I;NA
1;63;41;40;1;1;I;NA
1;70;41;40;1;1;I;NA
1;77;41;40;1;1;I;NA
1;84;41;40;1;1;I;NA
1;0;42;40;1;1;I;0
1;14;42;40;1;1;I;0
1;21;42;40;1;1;I;0.05
1;28;42;40;1;1;I;0.06
1;35;42;40;1;1;I;1.2
1;42;42;40;1;1;I;0.7
1;49;42;40;1;1;I;0.3
1;56;42;40;1;1;I;NA
1;63;42;40;1;1;I;NA
1;70;42;40;1;1;I;NA
1;77;42;40;1;1;I;NA
1;84;42;40;1;1;I;NA
1;0;43;40;1;1;I;0
1;14;43;40;1;1;I;0.02
1;21;43;40;1;1;I;0.06
1;28;43;40;1;1;I;0.09
1;35;43;40;1;1;I;1.2
1;42;43;40;1;1;I;NA
1;49;43;40;1;1;I;NA
1;56;43;40;1;1;I;NA
1;63;43;40;1;1;I;NA
1;70;43;40;1;1;I;NA
1;77;43;40;1;1;I;NA
1;84;43;40;1;1;I;NA
1;0;44;40;1;1;I;0
1;14;44;40;1;1;I;0
1;21;44;40;1;1;I;0
1;28;44;40;1;1;I;0
1;35;44;40;1;1;I;0.9
1;42;44;40;1;1;I;1.2
1;49;44;40;1;1;I;2.3
1;56;44;40;1;1;I;NA
1;63;44;40;1;1;I;NA
1;70;44;40;1;1;I;NA
1;77;44;40;1;1;I;NA
1;84;44;40;1;1;I;NA
1;0;45;40;1;1;I;0
1;14;45;40;1;1;I;0
1;21;45;40;1;1;I;0
1;28;45;40;1;1;I;0
1;35;45;40;1;1;I;1
1;42;45;40;1;1;I;1
1;49;45;40;1;1;I;NA
1;56;45;40;1;1;I;NA
1;63;45;40;1;1;I;NA
1;70;45;40;1;1;I;NA
1;77;45;40;1;1;I;NA
1;84;45;40;1;1;I;NA
1;0;46;40;1;1;I;0
1;14;46;40;1;1;I;0
1;21;46;40;1;1;I;0
1;28;46;40;1;1;I;0
1;35;46;40;1;1;I;1
1;42;46;40;1;1;I;0.19
1;49;46;40;1;1;I;0.25
1;56;46;40;1;1;I;1.2
1;63;46;40;1;1;I;2.4
1;70;46;40;1;1;I;4.5
1;77;46;40;1;1;I;6
1;84;46;40;1;1;I;NA
1;0;47;40;1;1;I;0
1;14;47;40;1;1;I;0.02
1;21;47;40;1;1;I;0.02
1;28;47;40;1;1;I;0.05
1;35;47;40;1;1;I;0.28
1;42;47;40;1;1;I;0.28
1;49;47;40;1;1;I;0.4
1;56;47;40;1;1;I;2.5
1;63;47;40;1;1;I;NA
1;70;47;40;1;1;I;NA
1;77;47;40;1;1;I;NA
1;84;47;40;1;1;I;NA
1;0;48;40;1;1;I;0
1;14;48;40;1;1;I;0
1;21;48;40;1;1;I;0
1;28;48;40;1;1;I;0
1;35;48;40;1;1;I;0.1
1;42;48;40;1;1;I;0.1
1;49;48;40;1;1;I;0.6
1;56;48;40;1;1;I;1.8
1;63;48;40;1;1;I;3
1;70;48;40;1;1;I;NA
1;77;48;40;1;1;I;NA
1;84;48;40;1;1;I;NA
1;0;49;40;1;1;I;0
1;14;49;40;1;1;I;0
1;21;49;40;1;1;I;0
1;28;49;40;1;1;I;0
1;35;49;40;1;1;I;0.9
1;42;49;40;1;1;I;1.8
1;49;49;40;1;1;I;0.8
1;56;49;40;1;1;I;4.3
1;63;49;40;1;1;I;4
1;70;49;40;1;1;I;NA
1;77;49;40;1;1;I;NA
1;84;49;40;1;1;I;NA
1;0;50;40;1;1;I;0
1;14;50;40;1;1;I;0.01
1;21;50;40;1;1;I;0.02
1;28;50;40;1;1;I;0.1
1;35;50;40;1;1;I;0.25
1;42;50;40;1;1;I;0.9
1;49;50;40;1;1;I;0.8
1;56;50;40;1;1;I;3.8
1;63;50;40;1;1;I;3.5
1;70;50;40;1;1;I;NA
1;77;50;40;1;1;I;NA
1;84;50;40;1;1;I;NA
1;0;51;40;2;1;I;0
1;14;51;40;2;1;I;NA
1;21;51;40;2;1;I;NA
1;28;51;40;2;1;I;NA
1;35;51;40;2;1;I;NA
1;42;51;40;2;1;I;NA
1;49;51;40;2;1;I;NA
1;56;51;40;2;1;I;NA
1;63;51;40;2;1;I;NA
1;70;51;40;2;1;I;NA
1;77;51;40;2;1;I;NA
1;84;51;40;2;1;I;NA
1;0;52;40;2;1;I;0
1;14;52;40;2;1;I;0
1;21;52;40;2;1;I;0
1;28;52;40;2;1;I;0.05
1;35;52;40;2;1;I;0.12
1;42;52;40;2;1;I;1.4
1;49;52;40;2;1;I;0.8
1;56;52;40;2;1;I;2.7
1;63;52;40;2;1;I;NA
1;70;52;40;2;1;I;NA
1;77;52;40;2;1;I;NA
1;84;52;40;2;1;I;NA
1;0;53;40;2;1;I;0
1;14;53;40;2;1;I;0
1;21;53;40;2;1;I;0.05
1;28;53;40;2;1;I;0.06
1;35;53;40;2;1;I;0.19
1;42;53;40;2;1;I;0.25
1;49;53;40;2;1;I;0.2
1;56;53;40;2;1;I;1.7
1;63;53;40;2;1;I;0.6
1;70;53;40;2;1;I;NA
1;77;53;40;2;1;I;NA
1;84;53;40;2;1;I;NA
1;0;54;40;2;1;I;0
1;14;54;40;2;1;I;0.05
1;21;54;40;2;1;I;0.01
1;28;54;40;2;1;I;0.03
1;35;54;40;2;1;I;0.06
1;42;54;40;2;1;I;0.2
1;49;54;40;2;1;I;0.19
1;56;54;40;2;1;I;2
1;63;54;40;2;1;I;2
1;70;54;40;2;1;I;NA
1;77;54;40;2;1;I;NA
1;84;54;40;2;1;I;NA
1;0;55;40;2;1;I;0
1;14;55;40;2;1;I;0
1;21;55;40;2;1;I;0
1;28;55;40;2;1;I;0
1;35;55;40;2;1;I;0
1;42;55;40;2;1;I;0.1
1;49;55;40;2;1;I;0.15
1;56;55;40;2;1;I;0.8
1;63;55;40;2;1;I;0.8
1;70;55;40;2;1;I;1.6
1;77;55;40;2;1;I;NA
1;84;55;40;2;1;I;NA
1;0;56;40;2;1;I;0
1;14;56;40;2;1;I;0
1;21;56;40;2;1;I;0
1;28;56;40;2;1;I;0.05
1;35;56;40;2;1;I;0.05
1;42;56;40;2;1;I;0.3
1;49;56;40;2;1;I;0.28
1;56;56;40;2;1;I;1
1;63;56;40;2;1;I;1.2
1;70;56;40;2;1;I;2
1;77;56;40;2;1;I;NA
1;84;56;40;2;1;I;NA
1;0;57;40;2;1;I;0
1;14;57;40;2;1;I;0
1;21;57;40;2;1;I;0
1;28;57;40;2;1;I;0
1;35;57;40;2;1;I;0
1;42;57;40;2;1;I;0.3
1;49;57;40;2;1;I;0.3
1;56;57;40;2;1;I;0.9
1;63;57;40;2;1;I;0.8
1;70;57;40;2;1;I;1.7
1;77;57;40;2;1;I;3
1;84;57;40;2;1;I;4
1;0;58;40;2;1;I;0
1;14;58;40;2;1;I;0
1;21;58;40;2;1;I;0
1;28;58;40;2;1;I;0.05
1;35;58;40;2;1;I;0.18
1;42;58;40;2;1;I;0.7
1;49;58;40;2;1;I;0.28
1;56;58;40;2;1;I;0.8
1;63;58;40;2;1;I;0.8
1;70;58;40;2;1;I;2.4
1;77;58;40;2;1;I;NA
1;84;58;40;2;1;I;NA
1;0;59;40;2;1;I;0
1;14;59;40;2;1;I;0
1;21;59;40;2;1;I;0
1;28;59;40;2;1;I;0
1;35;59;40;2;1;I;0
1;42;59;40;2;1;I;0.3
1;49;59;40;2;1;I;0.35
1;56;59;40;2;1;I;1.2
1;63;59;40;2;1;I;1
1;70;59;40;2;1;I;2
1;77;59;40;2;1;I;NA
1;84;59;40;2;1;I;NA
1;0;60;40;2;1;I;0
1;14;60;40;2;1;I;0
1;21;60;40;2;1;I;0
1;28;60;40;2;1;I;0
1;35;60;40;2;1;I;0
1;42;60;40;2;1;I;0.18
1;49;60;40;2;1;I;0.3
1;56;60;40;2;1;I;0.8
1;63;60;40;2;1;I;1
1;70;60;40;2;1;I;2.3
1;77;60;40;2;1;I;NA
1;84;60;40;2;1;I;NA
1;0;61;40;1;2;I;0
1;14;61;40;1;2;I;0
1;21;61;40;1;2;I;0
1;28;61;40;1;2;I;0.06
1;35;61;40;1;2;I;1.2
1;42;61;40;1;2;I;NA
1;49;61;40;1;2;I;NA
1;56;61;40;1;2;I;NA
1;63;61;40;1;2;I;NA
1;70;61;40;1;2;I;NA
1;77;61;40;1;2;I;NA
1;84;61;40;1;2;I;NA
1;0;62;40;1;2;I;0
1;14;62;40;1;2;I;0
1;21;62;40;1;2;I;0
1;28;62;40;1;2;I;0
1;35;62;40;1;2;I;0.07
1;42;62;40;1;2;I;0.12
