eva,iso,fun,rep,dos,d1,d2
2,m4,Propiconazole,1,0.025,1362,1346
2,m4,Propiconazole,1,0.125,1070,1033
2,m4,Propiconazole,2,0.125,1039,984
2,m4,Propiconazole,1,0.625,830,788
2,m4,Propiconazole,1,3.125,400,400
2,m4,Propiconazole,2,3.125,400,400
2,m4,Propiconazole,1,15.625,400,400
2,m4,Prothioconazole,1,0,2413,2371
2,m4,Prothioconazole,2,0,2018,2021
2,m4,Prothioconazole,1,0.001,2005,1653
2,m4,Prothioconazole,1,0.005,1677,1675
2,m4,Prothioconazole,2,0.005,1256,1369
2,m4,Prothioconazole,1,0.025,1156,1237
2,m4,Prothioconazole,1,0.125,566,601
2,m4,Prothioconazole,2,0.125,522,490
2,m4,Prothioconazole,1,0.625,400,400
2,m4,Prothioconazole,1,3.125,400,400
2,m4,Prothioconazole,2,3.125,400,400
2,m4,Prothioconazole,1,15.625,400,400
2,m4,Tebuconazole,1,0,2413,2371
2,m4,Tebuconazole,2,0,2018,2021
2,m4,Tebuconazole,1,0.001,2367,2302
2,m4,Tebuconazole,1,0.005,2214,1916
2,m4,Tebuconazole,2,0.005,1814,1822
2,m4,Tebuconazole,1,0.025,1313,1354
2,m4,Tebuconazole,1,0.125,1666,1748
2,m4,Tebuconazole,2,0.125,1689,1668
2,m4,Tebuconazole,1,0.625,1107,1112
2,m4,Tebuconazole,1,3.125,400,400
2,m4,Tebuconazole,2,3.125,400,400
2,m4,Tebuconazole,1,15.625,400,400
1,m5,Myclobutanil,1,0,1779,1788
1,m5,Myclobutanil,2,0,1650,1603
1,m5,Myclobutanil,1,0.001,1445,1505
1,m5,Myclobutanil,1,0.005,1150,1215
1,m5,Myclobutanil,2,0.005,1586,1584
1,m5,Myclobutanil,1,0.025,1506,1436
1,m5,Myclobutanil,1,0.125,1106,916
1,m5,Myclobutanil,2,0.125,1218,1285
1,m5,Myclobutanil,1,0.625,1348,1360
1,m5,Myclobutanil,1,3.125,1119,1095
1,m5,Myclobutanil,2,3.125,1371,1350
1,m5,Myclobutanil,1,15.625,695,694
1,m5,Propiconazole,1,0,1779,1788
1,m5,Propiconazole,2,0,1650,1603
1,m5,Propiconazole,1,0.001,1650,1679
1,m5,Propiconazole,1,0.005,1268,1362
1,m5,Propiconazole,2,0.005,1658,1570
