eva,iso,fun,dos,rep,d1,d2
1,9,fluxapyroxad,1,1,500,500
1,9,fluxapyroxad,1,2,500,500
1,9,fluxapyroxad,10,1,500,500
1,9,fluxapyroxad,50,1,500,500
1,9,fluxapyroxad,50,2,500,500
1,9,fluxapyroxad,100,1,500,500
1,9,penthiopyrad,0,1,1991,2006
1,9,penthiopyrad,0,2,2327,2320
1,9,penthiopyrad,0.01,1,1865,1864
1,9,penthiopyrad,0.01,2,1858,1912
1,9,penthiopyrad,0.05,1,1113,1102
1,9,penthiopyrad,0.1,1,1102,1064
1,9,penthiopyrad,0.1,2,1138,1134
1,9,penthiopyrad,0.5,1,1158,1135
1,9,penthiopyrad,1,1,500,500
1,9,penthiopyrad,1,2,500,500
1,9,penthiopyrad,10,1,500,500
1,9,penthiopyrad,50,1,500,500
1,9,penthiopyrad,50,2,500,500
1,9,penthiopyrad,100,1,500,500
1,10,boscalid,0,1,2111,2065
1,10,boscalid,0,2,2122,2042
1,10,boscalid,0.01,1,1638,1638
1,10,boscalid,0.01,2,1749,1711
1,10,boscalid,0.05,1,1329,1327
1,10,boscalid,0.1,1,1529,1625
1,10,boscalid,0.1,2,1537,1538
1,10,boscalid,0.5,1,1633,1750
1,10,boscalid,1,1,1516,1600
1,10,boscalid,1,2,1461,1515
1,10,boscalid,10,1,1325,1320
1,10,boscalid,50,1,1415,1407
1,10,boscalid,50,2,1314,1279
1,10,boscalid,100,1,1311,1299
1,10,fluopyram,0,1,2111,2065
1,10,fluopyram,0,2,2122,2042
1,10,fluopyram,0.01,1,1769,1540
1,10,fluopyram,0.01,2,1762,1742
1,10,fluopyram,0.05,1,1652,1842
1,10,fluopyram,0.1,1,1821,1664
1,10,fluopyram,0.1,2,1432,1533
1,10,fluopyram,0.5,1,1151,1321
1,10,fluopyram,1,1,1288,1246
1,10,fluopyram,1,2,1191,1242
1,10,fluopyram,10,1,927,1028
1,10,fluopyram,50,1,500,500
1,10,fluopyram,50,2,500,500
1,10,fluopyram,100,1,500,500
1,10,fluxapyroxad,0,1,2111,2065
1,10,fluxapyroxad,0,2,2122,2042
1,10,fluxapyroxad,0.01,1,1840,1736
1,10,fluxapyroxad,0.01,2,1589,1583
1,10,fluxapyroxad,0.05,1,1384,1599
1,10,fluxapyroxad,0.1,1,1447,1423
1,10,fluxapyroxad,0.1,2,1339,1400
1,10,fluxapyroxad,0.5,1,1434,1558
1,10,fluxapyroxad,1,1,1434,1436
1,10,fluxapyroxad,1,2,1299,1300
1,10,fluxapyroxad,10,1,1228,1261
1,10,fluxapyroxad,50,1,1099,1229
1,10,fluxapyroxad,50,2,995,994
1,10,fluxapyroxad,100,1,949,948
1,10,penthiopyrad,0,1,2111,2065
1,10,penthiopyrad,0,2,2122,2042
1,10,penthiopyrad,0.01,1,1549,1677
1,10,penthiopyrad,0.01,2,1657,1640
1,10,penthiopyrad,0.05,1,1603,1572
1,10,penthiopyrad,0.1,1,1394,1472
1,10,penthiopyrad,0.1,2,1536,1556
1,10,penthiopyrad,0.5,1,1452,1700
1,10,penthiopyrad,1,1,1158,1328
1,10,penthiopyrad,1,2,1551,1419
1,10,penthiopyrad,10,1,1085,993
1,10,penthiopyrad,50,1,1093,1090
1,10,penthiopyrad,50,2,947,993
1,10,penthiopyrad,100,1,873,957
1,11,boscalid,0,1,2216,2355
1,11,boscalid,0,2,2319,2142
1,11,boscalid,0.01,1,2035,2145
1,11,boscalid,0.01,2,2022,2177
1,11,boscalid,0.05,1,1936,1926
1,11,boscalid,0.1,1,1785,1841
1,11,boscalid,0.1,2,1938,1835
1,11,boscalid,0.5,1,1839,1819
1,11,boscalid,1,1,1714,1688
1,11,boscalid,1,2,1854,1842
1,11,boscalid,10,1,1638,1555
1,11,boscalid,50,1,1742,1735
1,11,boscalid,50,2,1517,1517
1,11,boscalid,100,1,1347,1363
1,11,fluopyram,0,1,2216,2355
1,11,fluopyram,0,2,2319,2142
1,11,fluopyram,0.01,1,1845,1775
1,11,fluopyram,0.01,2,1785,1869
1,11,fluopyram,0.05,1,1843,1495
1,11,fluopyram,0.1,1,1733,1730
1,11,fluopyram,0.1,2,1532,1535
1,11,fluopyram,0.5,1,1545,1499
1,11,fluopyram,1,1,1511,1529
1,11,fluopyram,1,2,1437,1415
1,11,fluopyram,10,1,1237,1271
1,11,fluopyram,50,1,924,887
1,11,fluopyram,50,2,931,937
1,11,fluopyram,100,1,904,890
1,11,fluxapyroxad,0,1,2216,2355
1,11,fluxapyroxad,0,2,2319,2142
1,11,fluxapyroxad,0.01,1,2077,2270
1,11,fluxapyroxad,0.01,2,1933,2009
1,11,fluxapyroxad,0.05,1,1873,1990
1,11,fluxapyroxad,0.1,1,1875,1876
1,11,fluxapyroxad,0.1,2,1726,1808
1,11,fluxapyroxad,0.5,1,1720,1706
1,11,fluxapyroxad,1,1,1574,1622
1,11,fluxapyroxad,1,2,1402,1584
1,11,fluxapyroxad,10,1,1487,1487
1,11,fluxapyroxad,50,1,1342,1333
1,11,fluxapyroxad,50,2,1302,1266
1,11,fluxapyroxad,100,1,1266,1214
1,11,penthiopyrad,0,1,2216,2355
1,11,penthiopyrad,0,2,2319,2142
1,11,penthiopyrad,0.01,1,2166,1929
1,11,penthiopyrad,0.01,2,2018,1927
1,11,penthiopyrad,0.05,1,1877,1873
1,11,penthiopyrad,0.1,1,1754,1741
1,11,penthiopyrad,0.1,2,1698,1682
1,11,penthiopyrad,0.5,1,1585,1573
1,11,penthiopyrad,1,1,1687,1514
1,11,penthiopyrad,1,2,1718,1611
1,11,penthiopyrad,10,1,1229,1361
1,11,penthiopyrad,50,1,1184,1266
1,11,penthiopyrad,50,2,1317,1334
1,11,penthiopyrad,100,1,1101,1222
1,12,boscalid,0,1,1910,2228
1,12,boscalid,0,2,2124,2124
1,12,boscalid,0.01,1,2107,2148
1,12,boscalid,0.01,2,2044,2067
1,12,boscalid,0.05,1,1772,1903
1,12,boscalid,0.1,1,2031,2024
1,12,boscalid,0.1,2,1845,1871
1,12,boscalid,0.5,1,1863,1801
1,12,boscalid,1,1,1871,1870
1,12,boscalid,1,2,1759,1775
1,12,boscalid,10,1,1519,1499
1,12,boscalid,50,1,1430,1455
1,12,boscalid,50,2,1424,1451
1,12,boscalid,100,1,1074,1010
1,12,fluopyram,0,1,1910,2228
1,12,fluopyram,0,2,2124,2124
1,12,fluopyram,0.01,1,2008,1954
1,12,fluopyram,0.01,2,1648,1701
1,12,fluopyram,0.05,1,1883,1847
1,12,fluopyram,0.1,1,1594,1592
1,12,fluopyram,0.1,2,1586,1641
1,12,fluopyram,0.5,1,1594,1660
1,12,fluopyram,1,1,1508,1552
1,12,fluopyram,1,2,1388,1422
1,12,fluopyram,10,1,1121,1051
1,12,fluopyram,50,1,500,500
1,12,fluopyram,50,2,500,500
1,12,fluopyram,100,1,500,500
1,12,fluxapyroxad,0,1,1910,2228
1,12,fluxapyroxad,0,2,2124,2124
1,12,fluxapyroxad,0.01,1,1752,2028
1,12,fluxapyroxad,0.01,2,1724,2161
