exp,spp,iso,rep,tem,day,mm1,mm2
1,Cf,11K17,3,25,4,27.8,28.13
1,Cf,11J23,1,25,4,28.65,28.12
1,Cf,11J23,2,25,4,27.62,27.95
1,Cf,11J23,3,25,4,28.69,28.7
1,Cf,12D46,1,25,4,26.45,26.67
1,Cf,12D46,2,25,4,26.68,26.09
1,Cf,12D46,3,25,4,27.76,28.04
1,Cf,12J05,1,25,4,26.59,26.26
1,Cf,12J05,2,25,4,26.7,26.74
1,Cf,12J05,3,25,4,26.72,26.7
1,Cf,12J41,1,25,4,25.1,26.23
1,Cf,12J41,2,25,4,27.15,26.97
1,Cf,12J41,3,25,4,26.6,25.75
1,Cf,11K11,1,30,4,17.99,18.56
1,Cf,11K11,2,30,4,18.09,18.63
1,Cf,11K11,3,30,4,18.76,17.79
1,Cf,11K17,1,30,4,18.57,18.51
1,Cf,11K17,2,30,4,19.06,19.4
1,Cf,11K17,3,30,4,19.53,19.41
1,Cf,11J23,1,30,4,19.28,20.01
1,Cf,11J23,2,30,4,19.9,20.5
1,Cf,11J23,3,30,4,19.88,19.23
1,Cf,12D46,1,30,4,19.1,18.8
1,Cf,12D46,2,30,4,19.06,19.3
1,Cf,12D46,3,30,4,19.06,19.05
1,Cf,12J05,1,30,4,18.73,18.92
1,Cf,12J05,2,30,4,19.16,18.89
1,Cf,12J05,3,30,4,18.97,18.57
1,Cf,12J41,1,30,4,16.1,17.72
1,Cf,12J41,2,30,4,17.75,19.36
1,Cf,12J41,3,30,4,18.12,18.67
1,Cf,11K11,1,35,4,4,4
1,Cf,11K11,2,35,4,4,4
1,Cf,11K11,3,35,4,4,4
1,Cf,11K17,1,35,4,4,4
1,Cf,11K17,2,35,4,4,4
1,Cf,11K17,3,35,4,4,4
1,Cf,11J23,1,35,4,4,4
1,Cf,11J23,2,35,4,4,4
1,Cf,11J23,3,35,4,4,4
1,Cf,12D46,1,35,4,4,4
1,Cf,12D46,2,35,4,4,4
1,Cf,12D46,3,35,4,4,4
1,Cf,12J05,1,35,4,4,4
1,Cf,12J05,2,35,4,4,4
1,Cf,12J05,3,35,4,4,4
1,Cf,12J41,1,35,4,4,4
1,Cf,12J41,2,35,4,4,4
1,Cf,12J41,3,35,4,4,4
