exp,spp,kare,len,wid,vol
1,Cf,12D46,11.13,5.57,271.2035348
1,Cf,12D46,10.1,4.7,175.2293624
1,Cf,12D46,10.17,5.45,237.2486492
1,Cf,12D46,10.34,5.36,233.3135217
1,Cf,12D46,10.63,4.65,180.5215116
1,Cf,12D46,11.77,5.57,286.7983472
1,Cf,12D46,10.12,6.12,297.6961018
1,Cf,12D46,9.25,4.63,155.7376101
1,Cf,12D46,10.4,5.2,220.866484
1,Cf,12D46,13.69,5.19,289.6196036
1,Cf,12D46,9.81,5.2,208.3365584
1,Cf,12D46,10.7,4.46,167.1642046
1,Cf,12D46,11.28,6.81,410.859293
1,Cf,12D46,10.3,5.68,260.9898917
1,Cf,12D46,10.32,5.25,223.4025341
1,Cf,12D46,7.34,4.99,143.5446274
1,Cf,12D46,11.6,5.16,242.5756387
1,Cf,12D46,8.4,5.49,198.8445838
1,Cf,12D46,11.43,4.13,153.1214823
1,Cf,12D46,12.33,6.39,395.4163145
1,Cf,12D46,10.12,4.13,135.5721261
1,Cf,12D46,6.77,5.76,176.410092
1,Cf,12D46,11.86,5.77,310.1173801
1,Cf,12D46,12.66,4.17,172.9002442
1,Cf,12D46,9.83,6.18,294.8629859
1,Cf,12D46,10.55,5.28,230.9989978
1,Cf,12J05,13.46,5.5,319.7865767
1,Cf,12J05,13.46,5.12,277.1244045
1,Cf,12J05,12.6,5.69,320.3943648
1,Cf,12J05,10.34,4.83,189.4543543
1,Cf,12J05,12.38,5.97,346.5445697
1,Cf,12J05,10.61,5.63,264.1325746
1,Cf,12J05,9.98,5.12,205.4755986
1,Cf,12J05,11.93,5.3,263.1976298
1,Cf,12J05,12.17,5.12,250.5649333
1,Cf,12J05,10.68,5.51,254.6620562
1,Cf,12J05,11.45,4.97,222.1304289
1,Cf,12J05,8.26,4.44,127.8897618
1,Cf,12J05,10.12,4.56,165.2722688
1,Cf,12J05,10.39,6.57,352.2378955
1,Cf,12J05,13.64,5.2,289.6748886
1,Cf,12J05,11.64,6.78,420.2446169
1,Cf,12J05,9.2,6.28,284.9685324
1,Cf,12J05,10.61,6.92,399.0408564
1,Cf,12J05,9.23,5.14,191.5215862
1,Cf,12J05,10.33,4.17,141.0789512
1,Cf,12J05,9.96,5.97,278.8032241
1,Cf,12J05,12.68,5.14,263.1087447
1,Cf,12J05,12.7,5.2,269.7119564
1,Cf,12J05,10.94,5.82,291.0402685
1,Cf,12J05,12.42,5.98,348.8299413
1,Cf,12J05,10.63,4.29,153.6517956
1,Cf,12J23,11.86,5.45,276.6734494
1,Cf,12J23,10.73,5.27,234.0511306
1,Cf,12J23,12.16,5.93,335.8402563
1,Cf,12J23,12.48,4.78,223.954694
1,Cf,12J23,8.72,5.39,198.968262
1,Cf,12J23,11.86,5.1,242.2784755
1,Cf,12J23,10.75,4.82,196.1518153
1,Cf,12J23,8.65,6.03,247.0247809
1,Cf,12J23,9.89,4.19,136.3685204
1,Cf,12J23,9.92,4.62,166.2973828
1,Cf,12J23,11.35,6.12,333.8785332
1,Cf,12J23,10.92,5.56,265.1319174
1,Cf,12J23,9.19,5.47,215.9633
1,Cf,12J23,11.36,5.16,237.5568324
1,Cf,12J23,12.65,5.81,335.3764639
1,Cf,12J23,11.59,5.2,246.1387067
1,Cf,12J23,10.73,5.68,271.8855862
1,Cf,12J23,11.3,4.98,220.1034855
1,Cf,12J23,10.43,5.03,207.2574114
1,Cf,12J23,10.71,4.61,178.7644317
1,Cf,12J23,9.35,5.16,195.5243294
1,Cf,12J23,11.63,6.18,348.8562081
1,Cf,12J23,13.88,5.68,351.7028832
1,Cf,12J23,10.12,6.12,297.6961018
1,Cf,12J23,11.78,4.72,206.1194993
1,Cf,12J23,10.17,5.21,216.8134352
1,Ck,3G23,15.1,6.28,467.7200913
1,Ck,3G23,12.51,7.09,493.9006197
1,Ck,3G23,14.18,7.84,684.538923
1,Ck,3G23,14.08,7.56,632.0275897
1,Ck,3G23,15.33,7.2,624.1614455
1,Ck,3G23,15.4,5.78,404.0789144
1,Ck,3G23,14,6.62,481.8743456
1,Ck,3G23,13.32,6.42,431.1854247
1,Ck,3G23,14.27,6.06,411.5845012
1,Ck,3G23,15.43,6.2,465.8424874
1,Ck,3G23,14.46,7.47,633.7227346
1,Ck,3G23,15.17,6.93,572.1920784
1,Ck,3G23,16.23,7.26,671.86428
1,Ck,3G23,15.67,7.93,773.9362024
1,Ck,3G23,15.13,6.72,536.6205069
1,Ck,3G23,17.79,5.87,481.4397464
1,Ck,3G23,16.32,7.56,732.5774335
1,Ck,3G23,12.92,5.73,333.1666704
1,Ck,3G23,13.42,6.93,506.1844227
1,Ck,3G23,17.6,7.37,750.8227694
1,Ck,3G23,13.16,6.29,408.9281156
1,Ck,3G23,15.58,6.05,447.886522
1,Ck,3G23,16.66,6.34,525.9486005
1,Ck,3G23,11.32,7.5,500.1021765
1,Ck,3G23,14.65,6.52,489.128093
1,Ck,3G23,13.54,6.85,498.9874218
1,Ck,3G23,15.44,7.12,614.7479289
1,Ck,3G23,14.34,6.11,420.4567827
1,Ck,3G23,15.12,6.91,567.0190851
1,Ck,3G23,14.9,5.75,386.9115985
1,Ck,3G23,13.28,7.12,528.7469233
1,Ck,3G23,14.52,5.86,391.6080759
2,Cf,11J41,12.45,3.98,154.8906801
2,Cf,11J41,10.36,4.39,156.8117447
2,Cf,11J41,12.32,4.99,240.9359413
2,Cf,11J41,11.18,4.07,145.4522397
2,Cf,11J41,9.97,3.98,124.0369542
2,Cf,11J41,11.15,5.13,230.462033
2,Cf,11J41,11.86,4.44,183.6286411
2,Cf,11J41,7.32,4.44,113.3357211
2,Cf,11J41,10.45,4.68,179.7619571
