cober;gesso;prof;varie;bloc;tens;umid
Millet;0;0.05-0.20;IAC Fantástico;4;9;0.1905
Millet;0;0.05-0.20;IAC Fantástico;1;10;0.182
Millet;0;0.05-0.20;IAC Fantástico;2;10;0.1848
Millet;0;0.05-0.20;IAC Fantástico;3;10;0.176
Millet;0;0.05-0.20;IAC Fantástico;4;10;0.1819
Millet;0;0.05-0.20;IAC Fantástico;1;33;0.1374
Millet;0;0.05-0.20;IAC Fantástico;2;33;0.1367
Millet;0;0.05-0.20;IAC Fantástico;3;33;0.1148
Millet;0;0.05-0.20;IAC Fantástico;4;33;0.1298
Millet;0;0.05-0.20;IAC Fantástico;1;66;0.1345
Millet;0;0.05-0.20;IAC Fantástico;2;66;0.1268
Millet;0;0.05-0.20;IAC Fantástico;3;66;0.1002
Millet;0;0.05-0.20;IAC Fantástico;4;66;0.1278
Millet;0;0.05-0.20;IAC Fantástico;1;100;0.1271
Millet;0;0.05-0.20;IAC Fantástico;2;100;0.1204
Millet;0;0.05-0.20;IAC Fantástico;3;100;0.091
Millet;0;0.05-0.20;IAC Fantástico;4;100;0.1268
Millet;0;0.05-0.20;IAC Fantástico;1;300;0.1126
Millet;0;0.05-0.20;IAC Fantástico;2;300;0.1074
Millet;0;0.05-0.20;IAC Fantástico;3;300;0.0751
Millet;0;0.05-0.20;IAC Fantástico;4;300;0.1068
Millet;0;0.05-0.20;IAC Fantástico;1;1500;0.0756
Millet;0;0.05-0.20;IAC Fantástico;2;1500;0.079
Millet;0;0.05-0.20;IAC Fantástico;3;1500;0.0511
Millet;0;0.05-0.20;IAC Fantástico;4;1500;0.0919
Millet;0;0.05-0.20;Imperial;1;0;0.3131
Millet;0;0.05-0.20;Imperial;2;0;0.3177
Millet;0;0.05-0.20;Imperial;3;0;0.3259
Millet;0;0.05-0.20;Imperial;4;0;0.3025
Millet;0;0.05-0.20;Imperial;1;1;0.3087
Millet;0;0.05-0.20;Imperial;2;1;0.3169
Millet;0;0.05-0.20;Imperial;3;1;0.3049
Millet;0;0.05-0.20;Imperial;4;1;0.3106
Millet;0;0.05-0.20;Imperial;1;2;0.313
Millet;0;0.05-0.20;Imperial;2;2;0.3101
Millet;0;0.05-0.20;Imperial;3;2;0.287
Millet;0;0.05-0.20;Imperial;4;2;0.3086
Millet;0;0.05-0.20;Imperial;1;4;0.3115
Millet;0;0.05-0.20;Imperial;2;4;0.2666
Millet;0;0.05-0.20;Imperial;3;4;0.2329
Millet;0;0.05-0.20;Imperial;4;4;0.3061
Millet;0;0.05-0.20;Imperial;1;6;0.2831
Millet;0;0.05-0.20;Imperial;2;6;0.198
Millet;0;0.05-0.20;Imperial;3;6;0.1875
Millet;0;0.05-0.20;Imperial;4;6;0.2758
Millet;0;0.05-0.20;Imperial;1;8;0.2539
Millet;0;0.05-0.20;Imperial;2;8;0.1687
Millet;0;0.05-0.20;Imperial;3;8;0.1616
Millet;0;0.05-0.20;Imperial;4;8;0.2452
Millet;0;0.05-0.20;Imperial;1;9;0.2337
Millet;0;0.05-0.20;Imperial;2;9;0.1539
Millet;0;0.05-0.20;Imperial;3;9;0.1499
Millet;0;0.05-0.20;Imperial;4;9;0.2132
Millet;0;0.05-0.20;Imperial;1;10;0.2322
Millet;0;0.05-0.20;Imperial;2;10;0.1495
Millet;0;0.05-0.20;Imperial;3;10;0.1437
Millet;0;0.05-0.20;Imperial;4;10;0.2013
Millet;0;0.05-0.20;Imperial;1;33;0.1564
Millet;0;0.05-0.20;Imperial;2;33;0.1042
Millet;0;0.05-0.20;Imperial;3;33;0.1003
Millet;0;0.05-0.20;Imperial;4;33;0.1291
Millet;0;0.05-0.20;Imperial;1;66;0.1274
Millet;0;0.05-0.20;Imperial;2;66;0.0859
Millet;0;0.05-0.20;Imperial;3;66;0.0881
Millet;0;0.05-0.20;Imperial;4;66;0.1146
Millet;0;0.05-0.20;Imperial;1;100;0.1184
Millet;0;0.05-0.20;Imperial;2;100;0.0807
Millet;0;0.05-0.20;Imperial;3;100;0.0884
Millet;0;0.05-0.20;Imperial;4;100;0.1046
Millet;0;0.05-0.20;Imperial;1;300;0.1122
Millet;0;0.05-0.20;Imperial;2;300;0.0695
Millet;0;0.05-0.20;Imperial;3;300;0.0748
Millet;0;0.05-0.20;Imperial;4;300;0.084
Millet;0;0.05-0.20;Imperial;1;1500;0.0932
Millet;0;0.05-0.20;Imperial;2;1500;0.047
Millet;0;0.05-0.20;Imperial;3;1500;0.0488
Millet;0;0.05-0.20;Imperial;4;1500;0.062
Millet;4;0-0.05;Pérola;1;0;0.4212
Millet;4;0-0.05;Pérola;2;0;0.4
Millet;4;0-0.05;Pérola;3;0;0.3612
Millet;4;0-0.05;Pérola;4;0;0.4142
Millet;4;0-0.05;Pérola;1;1;0.3954
Millet;4;0-0.05;Pérola;2;1;0.3996
Millet;4;0-0.05;Pérola;3;1;0.3473
Millet;4;0-0.05;Pérola;4;1;0.3859
Millet;4;0-0.05;Pérola;1;2;0.3508
Millet;4;0-0.05;Pérola;2;2;0.3594
Millet;4;0-0.05;Pérola;3;2;0.3269
